content,fecha_publicacion
"@tatclouthier @XochitlGalvez @Claudiashein Bajo tu optica, entonces porque el Gobierno elimino becas y doctorados y tu presidente grita que solo van aprender al extranjero a robar, realmente son muchas incongruencias y los lamebotas ha echar maromas",2023-11-24 20:33:50+00:00
@owornat @XochitlGalvez Vamos Xochitl Presidente ,2023-11-24 20:31:42+00:00
"@owornat @XochitlGalvez Andaba muy calladita la senora escritora, creo que ya se recupero del coraje con el nuevo presidente argentino porque ya empezo a esparcir su veneno en politica mexicana. ",2023-11-24 20:31:12+00:00
@lopezdoriga @XochitlGalvez Pues ojala encuentren la manera de que la candidata comunique mas una imagen de Jefa de Estado que de la mujer que no le abrieron la puerta de Palacio Nacional sigue peleando con el maquiavelico presidente.,2023-11-24 20:27:27+00:00
@XochitlGalvez Vamos Xochitl Presidente ,2023-11-24 20:25:17+00:00
"@tatclouthier @XochitlGalvez @Claudiashein Xochitl,  perfectamente imperfecta, pero sera presidente en el 2024.
Vamos Xochitl!! ",2023-11-24 20:24:10+00:00
"Imaginemos, si con este gobierno no ha aprovechado el nearshoring la IED solo representa el 15% de lo que podria ser, como sera ahora q gane @XochitlGalvez? Mexico  requiere una Presidente Xingona! Cambiemos de verdad, el rumbo! https://t.co/2mxdr8Y5a0",2023-11-24 20:22:56+00:00
"@tatclouthier @XochitlGalvez @Claudiashein ""Preocupa su actuar""?
Ves las mil y un pendejadas que hace el Presidente, ves como esta haciendo mierda al Pais, ves como va a dejar hecha pedazos la nacion para el siguiente mandatario, sea quien sea, y el actuar que te preocupa es el de @XochitlGalvez??????!!!",2023-11-24 20:20:42+00:00
"@tatclouthier @XochitlGalvez @Claudiashein Bueno, el presidente escribio mil veces cosas que no iba a hacer y las termino haciendo Jajaja",2023-11-24 20:20:02+00:00
@rivapa @XochitlGalvez @lopezobrador_ @Claudiashein Lo que pasa es que solo los pendejos como tu repudian las politicas de nuestro presidente Obrador y por eso su #BotargaBrutaYCogupta y el PRIANRD no levantan !!.,2023-11-24 20:18:16+00:00
@XochitlGalvez Por tener al mejor presidente del mundo mundial @lopezobrador_ y por nuestra futura presidenta @Claudiashein,2023-11-24 20:17:35+00:00
"@SocCivilMx @XochitlGalvez De aqui al 2030, traidores, se vendieron al PRIAN, cero candidatos de la sociedad civil, celebran que se nos impusieran a dos panistas para presidente y jefe de gobierno y que el PRIAN, se repartan cargos, con total descaro",2023-11-24 20:13:13+00:00
@tatclouthier @XochitlGalvez @Claudiashein Ya andas tras hueso Tatis? Ya se te paso la humillada que te dio el presidente bananero?,2023-11-24 20:10:27+00:00
@XochitlGalvez Yo doy gracias por mi presidente honesto al que imitas!  Y tambien doy gracias por lo bRU ta que eres en representacion de los gobiernos agonizantes y opresores ,2023-11-24 19:58:50+00:00
"@Elizabe97472369 @gracie_ss @XochitlGalvez Puras p3nd3jadas dice,
Pues asi como? 
Que comporte como una verdadera lider politica que aprenda hablar bien, 
De lo contrario, 
Como le haria frente a un presidente? A un lider mundial? 
Como?  Ni las cuentas le salen!",2023-11-24 19:57:52+00:00
"@owornat @XochitlGalvez Y que cuenta @JMilei  tu presidente ??? 

#XochiltGalvezPresidenta2024",2023-11-24 19:51:12+00:00
@XochitlGalvez deja de calumniar ..primero ve como esta el peso ...como estan los salarios ..como estan las infraestructuras ..como estamos el pueblo ..como estan las encuestas ..como esta nuestro gran lider presidente..,2023-11-24 19:46:59+00:00
@tatclouthier @XochitlGalvez @Claudiashein No te da pena tia Tatis que el presidente te quito de la SE por no cumplirle sus berrinches y sus caprichos?? Y no siquiera te abrazo cuando te relego del cargo?? Eres inepta igual que todos los abyectos de morena!!,2023-11-24 19:45:57+00:00
"@Alonsotamez @JorgeGarcesMx @XochitlGalvez @lopezobrador_ Esto sera una guerra muy sucia, dirigida desde palacio.
Si @XochitlGalvez no quiere entrarle a lo sucio, no hara falta si se decide a atacar frontalmente al desastre de gobierno y al mismisimo porro presidente.
Que deje las historias del corazon para ""Mujer casos de la vida real"" https://t.co/nIi2Rz8ufc",2023-11-24 19:44:52+00:00
"@Elizabe97472369 @XochitlGalvez A Xochitl,de presidente? https://t.co/64xwoSSeq1",2023-11-24 19:43:46+00:00
"@XochitlGalvez @LibiaDennise Guanajuato seguira siendo un bastion panista y eso le da diarrea al ""presidente""...",2023-11-24 19:37:03+00:00
@SocCivilMx @XochitlGalvez #XochitlVa   Presidente,2023-11-24 19:36:30+00:00
