content,fecha_publicacion
"@samuel_garcias Deberia existir requisitos obligatorios para poder postularse para presidente.

Esta reverenda mierd ni logros tiene en nuevo leon. minimo uno de los requisitos para presidente deberia ser, tener logros como gobernador de un estado.",2023-11-24 18:45:43+00:00
@NachoRgz @XochitlGalvez @samuel_garcias Ya vas sacando las garras ??? Despues que vendias tus playeras chafas del presidente ?,2023-11-24 18:44:27+00:00
"@samuel_garcias Reverenda cagada, un payaso que logro la gobernatura de nl. con solo un par de anos, lo unico que ha echo es beneficiar a los politicos de su partido.

Es una reverenda cagada que sin logros quiera postularse para presidente.",2023-11-24 18:42:10+00:00
"@The_Master85 @samuel_garcias @chavacanamayor a como les a movido el tapete a muchos mi gobernatore di oro, vamos por un presidente Regio",2023-11-24 18:40:07+00:00
@samuel_garcias Es la mejor propuesta actual para presidente...,2023-11-24 18:40:00+00:00
@JJDiazMachuca @colosioriojas @samuel_garcias Si ni siquiera conose la constitucion y quiere ser Presidente bravo Sr. Colocio,2023-11-24 18:38:52+00:00
"@pedroferriz3 @samuel_garcias Su vida personal es muy su vida, lo que deberia importarnos es si da buenos resultados o no, se trata de alguien que quiere ser presidente y si nos conviene o no",2023-11-24 18:36:33+00:00
"@pedroferriz3 @samuel_garcias nomas no te tardes por que ya desbanco a Xochitl del segundo lugar en preferencias y a como va se me ase que vamos a tener presidente Regio, que no seria mejor atacar a la que va en primero ",2023-11-24 18:36:03+00:00
"@samuel_garcias No esque seas muy joven o nuevo, esque tiktokero y menso no sirves. Lastima que muchos jovenes se dejen llevar por eso. 
En pocas palabras, te sigue puro tiktokero. 

Los jovenes emprendedores no creo que te quieran para presidente.",2023-11-24 18:19:28+00:00
"@OSWALDORIOSM @samuel_garcias Igual que Trump! Recuerdo en su campana, antes de ser presidente se burlo de los discapacitados.......  Desde ese momento lo odie!!!!!",2023-11-24 18:15:59+00:00
"@LayCeRo @samuel_garcias Deberias de preguntar con cuanto califican a Claudia o Xochitl o al actual presidente, seguro muchisimo menos que 6.9 seguro",2023-11-24 18:11:40+00:00
"@ApoloRegio @samuel_garcias Espero que el pueblo no se deje conquistar por el segun cara bonita, ahora quiere tu voto para presidente...ya basta!!!",2023-11-24 18:06:03+00:00
@tono5637 @NachoRgz @XochitlGalvez @samuel_garcias El resentimiento y la polarizacion de el presidente es lo que te hacer creer lo que dices. Pero ahora y antes estaba mal  y sigue estando mal o peor.,2023-11-24 18:02:14+00:00
"@samuel_garcias Lo que realmente decimos es que eres muy INMAMABLE, muy OGT y muy parecido a AMLO al creer que todos estan equivocados, menos tu.

Ojala hayas escuchado a tu amigo @colosioriojas, el que algun dia SI sera presidente, y por quien seguro votare.",2023-11-24 17:58:02+00:00
"@samuel_garcias La calca matona?? Seria la  mierda matona, vaya parasito queriendo ser presidente!! Enganaste a los regios pero no puedes enganar a todo un pais, maldito payaso  https://t.co/blSWcy5UvB",2023-11-24 17:49:18+00:00
@karitoVettel650 @JJDiazMachuca @samuel_garcias @laslolouss No lo pone ni el presidente,2023-11-24 17:48:11+00:00
